date,instrument,expected_pnl,trade_count,start_position,end_position,reported_pnl,close_price,prior_close_price,pnl_variance,abs_pnl_variance,is_exception,severity,status,age_business_days,likely_cause,cause_confidence,matched_trade_id,matched_trade_impact,stale_price_candidate_delta,implied_position_delta,investigation_note
2025-01-02,AUDUSD,-8.69,2,0,-125000,-8.69,0.68,0.68,0.0,0.0,False,None,No Exception,44,none,none,,,,,Variance below materiality threshold.
2025-01-02,EURUSD,-94.32,3,0,0,-269.32,1.09,1.08,-175.0,175.0,True,Low,Open,44,incorrect_fee,medium,,,-0.0,,"Variance is moderate, trade-related, and not well explained by price or trade-booking logic; likely fee discrepancy."
2025-01-02,GBPUSD,9.65,3,0,-150000,-240.35,1.27,1.27,-250.0,250.0,True,Low,Open,44,incorrect_fee,medium,,,-549.0,,"Variance is moderate, trade-related, and not well explained by price or trade-booking logic; likely fee discrepancy."
2025-01-03,AUDUSD,-474.68,2,-125000,-125000,-695.18,0.68,0.68,-220.5,220.5,True,Low,Open,43,wrong_position,medium,,,367.5,-75000.0,Variance is consistent with a plausible round-lot end-of-day position mismatch.
2025-01-03,EURUSD,0.0,0,0,0,0.0,1.09,1.09,0.0,0.0,False,None,No Exception,43,none,none,,,,,Variance below materiality threshold.
2025-01-03,GBPUSD,349.5,0,-150000,-150000,524.25,1.26,1.27,174.75,174.75,True,Low,Open,43,wrong_position,medium,,,-349.5,-75000.0,Variance is consistent with a plausible round-lot end-of-day position mismatch.
2025-01-06,AUDUSD,184.88,1,-125000,-200000,184.88,0.68,0.68,0.0,0.0,False,None,No Exception,42,none,none,,,,,Variance below materiality threshold.
2025-01-06,EURUSD,-57.01,3,0,-125000,-57.01,1.09,1.09,0.0,0.0,False,None,No Exception,42,none,none,,,,,Variance below materiality threshold.
2025-01-06,GBPUSD,-1018.23,2,-150000,-200000,-782.78,1.27,1.26,235.45,235.45,True,Low,Open,42,missing_trade,high,T00014,-235.45,1068.0,,Variance closely matches the removal of one same-day trade's P&L contribution.
2025-01-07,AUDUSD,187.6,2,-200000,-250000,187.6,0.68,0.68,0.0,0.0,False,None,No Exception,41,none,none,,,,,Variance below materiality threshold.
2025-01-07,EURUSD,-629.88,2,-125000,0,-629.88,1.09,1.09,0.0,0.0,False,None,No Exception,41,none,none,,,,,Variance below materiality threshold.
2025-01-07,GBPUSD,-348.0,0,-200000,-200000,-348.0,1.27,1.27,0.0,0.0,False,None,No Exception,41,none,none,,,,,Variance below materiality threshold.
2025-01-08,AUDUSD,295.69,1,-250000,-275000,295.69,0.67,0.68,0.0,0.0,False,None,No Exception,40,none,none,,,,,Variance below materiality threshold.
2025-01-08,EURUSD,-7.93,2,0,300000,-7.93,1.09,1.09,0.0,0.0,False,None,No Exception,40,none,none,,,,,Variance below materiality threshold.
2025-01-08,GBPUSD,1792.0,0,-200000,-200000,1792.0,1.26,1.27,0.0,0.0,False,None,No Exception,40,none,none,,,,,Variance below materiality threshold.
2025-01-09,AUDUSD,1204.8,1,-275000,-300000,1204.8,0.67,0.67,0.0,0.0,False,None,No Exception,39,none,none,,,,,Variance below materiality threshold.
2025-01-09,EURUSD,-242.2,1,300000,250000,-242.2,1.09,1.09,0.0,0.0,False,None,No Exception,39,none,none,,,,,Variance below materiality threshold.
2025-01-09,GBPUSD,-372.61,2,-200000,-300000,-372.61,1.26,1.26,0.0,0.0,False,None,No Exception,39,none,none,,,,,Variance below materiality threshold.
2025-01-10,AUDUSD,-281.44,2,-300000,-250000,-281.44,0.67,0.67,0.0,0.0,False,None,No Exception,38,none,none,,,,,Variance below materiality threshold.
2025-01-10,EURUSD,1510.0,0,250000,250000,1510.0,1.1,1.09,0.0,0.0,False,None,No Exception,38,none,none,,,,,Variance below materiality threshold.
2025-01-10,GBPUSD,634.03,2,-300000,-175000,634.03,1.26,1.26,0.0,0.0,False,None,No Exception,38,none,none,,,,,Variance below materiality threshold.
2025-01-13,AUDUSD,-197.5,0,-250000,-250000,-197.5,0.67,0.67,0.0,0.0,False,None,No Exception,37,none,none,,,,,Variance below materiality threshold.
2025-01-13,EURUSD,886.84,1,250000,175000,886.84,1.1,1.1,0.0,0.0,False,None,No Exception,37,none,none,,,,,Variance below materiality threshold.
2025-01-13,GBPUSD,501.33,1,-175000,-225000,501.33,1.26,1.26,0.0,0.0,False,None,No Exception,37,none,none,,,,,Variance below materiality threshold.
2025-01-14,AUDUSD,11.82,1,-250000,-150000,11.82,0.67,0.67,0.0,0.0,False,None,No Exception,36,none,none,,,,,Variance below materiality threshold.
2025-01-14,EURUSD,-316.75,0,175000,175000,-316.75,1.1,1.1,0.0,0.0,False,None,No Exception,36,none,none,,,,,Variance below materiality threshold.
2025-01-14,GBPUSD,-587.36,2,-225000,-200000,-587.36,1.26,1.26,0.0,0.0,False,None,No Exception,36,none,none,,,,,Variance below materiality threshold.
2025-01-15,AUDUSD,79.91,3,-150000,-225000,79.91,0.67,0.67,0.0,0.0,False,None,No Exception,35,none,none,,,,,Variance below materiality threshold.
2025-01-15,EURUSD,322.46,1,175000,275000,322.46,1.1,1.1,0.0,0.0,False,None,No Exception,35,none,none,,,,,Variance below materiality threshold.
2025-01-15,GBPUSD,-1040.0,0,-200000,-200000,-1040.0,1.27,1.26,0.0,0.0,False,None,No Exception,35,none,none,,,,,Variance below materiality threshold.
2025-01-16,AUDUSD,941.56,1,-225000,-250000,941.56,0.67,0.67,0.0,0.0,False,None,No Exception,34,none,none,,,,,Variance below materiality threshold.
2025-01-16,EURUSD,-457.12,1,275000,225000,-457.12,1.1,1.1,0.0,0.0,False,None,No Exception,34,none,none,,,,,Variance below materiality threshold.
2025-01-16,GBPUSD,-944.0,0,-200000,-200000,-944.0,1.27,1.27,0.0,0.0,False,None,No Exception,34,none,none,,,,,Variance below materiality threshold.
2025-01-17,AUDUSD,323.89,1,-250000,-150000,323.89,0.66,0.67,0.0,0.0,False,None,No Exception,33,none,none,,,,,Variance below materiality threshold.
2025-01-17,EURUSD,-773.61,3,225000,150000,-773.61,1.1,1.1,0.0,0.0,False,None,No Exception,33,none,none,,,,,Variance below materiality threshold.
2025-01-17,GBPUSD,976.91,2,-200000,-100000,976.91,1.27,1.27,0.0,0.0,False,None,No Exception,33,none,none,,,,,Variance below materiality threshold.
2025-01-20,AUDUSD,331.74,3,-150000,-175000,331.74,0.66,0.66,0.0,0.0,False,None,No Exception,32,none,none,,,,,Variance below materiality threshold.
2025-01-20,EURUSD,-29.81,1,150000,0,-29.81,1.1,1.1,0.0,0.0,False,None,No Exception,32,none,none,,,,,Variance below materiality threshold.
2025-01-20,GBPUSD,-267.22,3,-100000,100000,-630.08,1.27,1.27,-362.86,362.86,True,Medium,Open,32,duplicate_booking,high,T00051,-362.86,157.0,,Variance closely matches the P&L contribution of one duplicated same-day trade.
2025-01-21,AUDUSD,400.62,1,-175000,-225000,400.62,0.66,0.66,0.0,0.0,False,None,No Exception,31,none,none,,,,,Variance below materiality threshold.
2025-01-21,EURUSD,-42.51,1,0,100000,-42.51,1.09,1.1,0.0,0.0,False,None,No Exception,31,none,none,,,,,Variance below materiality threshold.
2025-01-21,GBPUSD,143.7,3,100000,100000,143.7,1.27,1.27,0.0,0.0,False,None,No Exception,31,none,none,,,,,Variance below materiality threshold.
2025-01-22,AUDUSD,113.78,1,-225000,-200000,113.78,0.66,0.66,0.0,0.0,False,None,No Exception,30,none,none,,,,,Variance below materiality threshold.
2025-01-22,EURUSD,-682.47,2,100000,275000,-682.47,1.09,1.09,0.0,0.0,False,None,No Exception,30,none,none,,,,,Variance below materiality threshold.
2025-01-22,GBPUSD,493.59,1,100000,125000,493.59,1.27,1.27,0.0,0.0,False,None,No Exception,30,none,none,,,,,Variance below materiality threshold.
2025-01-23,AUDUSD,-286.75,1,-200000,-100000,-286.75,0.66,0.66,0.0,0.0,False,None,No Exception,29,none,none,,,,,Variance below materiality threshold.
2025-01-23,EURUSD,-544.88,1,275000,125000,-544.88,1.08,1.09,0.0,0.0,False,None,No Exception,29,none,none,,,,,Variance below materiality threshold.
2025-01-23,GBPUSD,-179.18,1,125000,275000,-179.18,1.27,1.27,0.0,0.0,False,None,No Exception,29,none,none,,,,,Variance below materiality threshold.
2025-01-24,AUDUSD,-677.52,1,-100000,0,-677.52,0.67,0.66,0.0,0.0,False,None,No Exception,28,none,none,,,,,Variance below materiality threshold.
2025-01-24,EURUSD,-411.39,2,125000,-175000,-411.39,1.08,1.08,0.0,0.0,False,None,No Exception,28,none,none,,,,,Variance below materiality threshold.
2025-01-24,GBPUSD,-231.56,3,275000,200000,-231.56,1.27,1.27,0.0,0.0,False,None,No Exception,28,none,none,,,,,Variance below materiality threshold.
2025-01-27,AUDUSD,-11.77,1,0,-100000,-11.77,0.67,0.67,0.0,0.0,False,None,No Exception,27,none,none,,,,,Variance below materiality threshold.
2025-01-27,EURUSD,-217.41,2,-175000,-175000,-217.41,1.08,1.08,0.0,0.0,False,None,No Exception,27,none,none,,,,,Variance below materiality threshold.
2025-01-27,GBPUSD,-1174.27,1,200000,250000,-1174.27,1.26,1.27,0.0,0.0,False,None,No Exception,27,none,none,,,,,Variance below materiality threshold.
2025-01-28,AUDUSD,-80.68,1,-100000,-75000,-80.68,0.67,0.67,0.0,0.0,False,None,No Exception,26,none,none,,,,,Variance below materiality threshold.
2025-01-28,EURUSD,603.18,2,-175000,-425000,603.18,1.08,1.08,0.0,0.0,False,None,No Exception,26,none,none,,,,,Variance below materiality threshold.
